filename,width,height,class,xmin,ymin,xmax,ymax
tm_800_l3_jpg.rf.eb5ba92741bea31901ddf935b0fda78d.jpg,512,384,tanks,282,1,426,242
tm_800_l3_jpg.rf.eb5ba92741bea31901ddf935b0fda78d.jpg,512,384,tanks,160,256,257,385
expeditionary_tank_l6_jpg.rf.189a63d7b19720fb0c408b281f4a1c95.jpg,512,512,tanks,57,1,364,166
expeditionary_tank_l6_jpg.rf.189a63d7b19720fb0c408b281f4a1c95.jpg,512,512,tanks,365,13,512,212
expeditionary_tank_l6_jpg.rf.189a63d7b19720fb0c408b281f4a1c95.jpg,512,512,tanks,210,366,362,419
expeditionary_tank_l6_jpg.rf.189a63d7b19720fb0c408b281f4a1c95.jpg,512,512,tanks,469,244,513,298
k1a1_l9_jpg.rf.f828b875644bcbfefa4e3a665212bafe.jpg,512,384,tanks,1,13,200,201
k1a1_l9_jpg.rf.f828b875644bcbfefa4e3a665212bafe.jpg,512,384,tanks,318,1,513,72
k1a1_l9_jpg.rf.f828b875644bcbfefa4e3a665212bafe.jpg,512,384,tanks,1,239,200,385
k1a1_l9_jpg.rf.f828b875644bcbfefa4e3a665212bafe.jpg,512,384,tanks,236,239,513,385
olifant_mk2_l6_jpg.rf.cb9b6ae425a59c93d707a35f50c455fc.jpg,512,384,tanks,154,1,500,158
olifant_mk2_l6_jpg.rf.cb9b6ae425a59c93d707a35f50c455fc.jpg,512,384,tanks,1,158,154,385
olifant_mk2_l6_jpg.rf.cb9b6ae425a59c93d707a35f50c455fc.jpg,512,384,tanks,269,158,513,239
leopard_2pl_l2_jpg.rf.8640e74c5c314a386cfef6115fb7cd9f.jpg,512,350,tanks,10,1,221,158
leopard_2pl_l2_jpg.rf.8640e74c5c314a386cfef6115fb7cd9f.jpg,512,350,tanks,350,93,477,158
arjun_l5_jpg.rf.fd1ea67cb5c96b0fa20ebe81eda57ea7.jpg,512,384,tanks,361,1,513,166
arjun_l5_jpg.rf.fd1ea67cb5c96b0fa20ebe81eda57ea7.jpg,512,384,tanks,169,166,251,352
arjun_l5_jpg.rf.fd1ea67cb5c96b0fa20ebe81eda57ea7.jpg,512,384,tanks,287,166,423,385
type_74_l9_jpg.rf.ea4d338be8f1e2c507356db753ad65d1.jpg,512,384,tanks,18,225,513,385
zulfiqar_1_l3_jpg.rf.ef696988e17f3c20f962d910e719c0b9.jpg,512,341,tanks,161,71,215,168
zulfiqar_1_l3_jpg.rf.ef696988e17f3c20f962d910e719c0b9.jpg,512,341,tanks,336,18,405,168
zulfiqar_1_l3_jpg.rf.ef696988e17f3c20f962d910e719c0b9.jpg,512,341,tanks,90,184,302,308
zulfiqar_1_l3_jpg.rf.ef696988e17f3c20f962d910e719c0b9.jpg,512,341,tanks,430,222,513,342
t95_l1_jpg.rf.33d1ab36c3aa0b1c96e5a6d967a509b1.jpg,512,341,tanks,116,48,173,256
t95_l1_jpg.rf.33d1ab36c3aa0b1c96e5a6d967a509b1.jpg,512,341,tanks,79,283,173,341
t95_l1_jpg.rf.33d1ab36c3aa0b1c96e5a6d967a509b1.jpg,512,341,tanks,364,256,401,342
tr85m1_l3_jpg.rf.4843d64f302817377642b8e0f8c609ac.jpg,320,189,tanks,1,1,55,6
tr85m1_l3_jpg.rf.4843d64f302817377642b8e0f8c609ac.jpg,320,189,tanks,1,16,40,74
t72_main_jpg.rf.576b663ad64d95d12d463f0413d0683a.jpg,512,340,tanks,3,1,184,188
t72_main_jpg.rf.576b663ad64d95d12d463f0413d0683a.jpg,512,340,tanks,244,1,490,147
t72_main_jpg.rf.576b663ad64d95d12d463f0413d0683a.jpg,512,340,tanks,1,211,74,341
t72_main_jpg.rf.576b663ad64d95d12d463f0413d0683a.jpg,512,340,tanks,23,211,241,341
t72_main_jpg.rf.576b663ad64d95d12d463f0413d0683a.jpg,512,340,tanks,241,211,467,323
anders_l8_jpg.rf.8db83fb514f573001bec66bb3fcbd9c6.jpg,480,320,tanks,1,1,49,126
anders_l8_jpg.rf.8db83fb514f573001bec66bb3fcbd9c6.jpg,480,320,tanks,210,8,377,221
anders_l8_jpg.rf.8db83fb514f573001bec66bb3fcbd9c6.jpg,480,320,tanks,1,221,77,289
type_74_l7_jpg.rf.ff65d56026827fc4c8482ae28c33eff6.jpg,512,384,tanks,8,1,318,285
type_74_l7_jpg.rf.ff65d56026827fc4c8482ae28c33eff6.jpg,512,384,tanks,382,1,476,285
type_74_l7_jpg.rf.ff65d56026827fc4c8482ae28c33eff6.jpg,512,384,tanks,125,285,300,384
type_74_l7_jpg.rf.ff65d56026827fc4c8482ae28c33eff6.jpg,512,384,tanks,411,285,513,352
m60a3_l1_jpg.rf.4f08cddcba8a514c0b3ffabfd932f271.jpg,512,384,tanks,1,145,499,385
m1a2_abrams_main_jpg.rf.9e6063305d83657461327a0ae2af6802.jpg,300,178,tanks,1,1,290,150
m1a2_abrams_l1_jpg.rf.82a437d8dbcac757d2ac2c3a6f483d15.jpg,576,432,tanks,260,129,577,433
tam_l5_jpg.rf.9df5e7cf5aad7c47d6b8b5944ba865f1.jpg,300,172,tanks,36,1,301,144
magach_7_l5_jpg.rf.75bbe1342ed4d870fc41aacccbd11820.jpg,512,384,tanks,1,1,338,169
magach_7_l5_jpg.rf.75bbe1342ed4d870fc41aacccbd11820.jpg,512,384,tanks,338,1,513,169
magach_7_l5_jpg.rf.75bbe1342ed4d870fc41aacccbd11820.jpg,512,384,tanks,1,170,329,377
magach_7_l5_jpg.rf.75bbe1342ed4d870fc41aacccbd11820.jpg,512,384,tanks,338,169,513,385
t64bm_bulat_l1_jpg.rf.38aec8a543c89b72d8b981a5068feab4.jpg,512,381,tanks,365,1,513,156
type_63a_l3_jpg.rf.fc7e0cb399e4c0bf37313fd9c2610355.jpg,200,126,tanks,64,1,201,83
pl_01_l3_jpg.rf.f52727e8b3f94e3c0aa9d28fa87b576c.jpg,512,384,tanks,1,124,236,212
pl_01_l3_jpg.rf.f52727e8b3f94e3c0aa9d28fa87b576c.jpg,512,384,tanks,89,304,236,363
pl_01_l3_jpg.rf.f52727e8b3f94e3c0aa9d28fa87b576c.jpg,512,384,tanks,236,212,513,384
leopard_2_l7_jpg.rf.0505e1d4eea44c644b5e02eb2462df69.jpg,512,332,tanks,1,241,217,333
t72_main_jpg.rf.2510c505a1affbb7b8d8f28273ffa410.jpg,512,384,tanks,64,16,230,225
t72_main_jpg.rf.2510c505a1affbb7b8d8f28273ffa410.jpg,512,384,tanks,359,197,481,239
t72_main_jpg.rf.2510c505a1affbb7b8d8f28273ffa410.jpg,512,384,tanks,100,248,241,385
leopard_l3_jpg.rf.d8e5004924737aa61f781da013fbb586.jpg,512,384,tanks,31,1,193,103
leopard_l3_jpg.rf.d8e5004924737aa61f781da013fbb586.jpg,512,384,tanks,221,1,293,150
leopard_l3_jpg.rf.d8e5004924737aa61f781da013fbb586.jpg,512,384,tanks,325,150,513,385
merkava_mk2_l6_jpg.rf.5ab7f6b92e60c84735e634ff35dbaab6.jpg,512,357,tanks,1,1,138,110
merkava_mk2_l6_jpg.rf.5ab7f6b92e60c84735e634ff35dbaab6.jpg,512,357,tanks,282,1,513,193
merkava_mk2_l6_jpg.rf.5ab7f6b92e60c84735e634ff35dbaab6.jpg,512,357,tanks,1,193,270,358
merkava_mk2_l6_jpg.rf.5ab7f6b92e60c84735e634ff35dbaab6.jpg,512,357,tanks,282,193,513,279
fv101_scorpion_l2_jpg.rf.99cc583ecc0a6675cb80b00362fc5b33.jpg,512,409,tanks,107,1,301,139
fv101_scorpion_l2_jpg.rf.99cc583ecc0a6675cb80b00362fc5b33.jpg,512,409,tanks,43,140,249,345
